# ALIQUOT_ANNOTATION	ANN_CODE
Duplicate item: CCRCC Tumor heterogeneity study aliquot	HET
Duplicate item: Additional DNA for PDA Deep Sequencing	DEEP
Duplicate item: Additional DNA requested	ADNA
Duplicate item: Additional RNA requested	ARNA
Duplicate item: PDA Pilot - bulk-derived DNA	BULK
Duplicate item: PDA Pilot - core-derived DNA	CORE
Duplicate item: Replacement RNA Distribution - original aliquot failed	RRNA
Duplicate item: Replacement DNA Distribution - original aliquot failed	RDNA
Duplicate item: UCEC BioTEXT Pilot	BIOTEXT
Duplicate item: UCEC LMD Heterogeneity Pilot	LMD
Additional DNA Distribution - Additional aliquot	ADD
PDA BIOTEXT RNA	BIOTEXT
Replacement DNA Aliquot	RDNA
Original DNA Aliquot	ODNA
Duplicate item: PDA BIOTEXT DNA	BIOTEXT
Duplicate item: Supplementary DNA Aliquot	ADNA
Duplicate item: Replacement DNA Aliquot	RDNA
Duplicate item: No new shipment/material. DNA aliquot resubmission for Broad post-harmonization sequencing and sample type mismatch correction.	RDNA
Duplicate item: Replacement RNA Aliquot	RRNA
Duplicate Item: CHOP GBM Duplicate Primary Tumor DNA Aliquot	ADNA
Duplicate Item: CHOP GBM Duplicate Primary Tumor RNA Aliquot	ADNA
Duplicate Item: CHOP GBM Duplicate Recurrent Tumor DNA Aliquot	ADNA
Duplicate Item: CHOP GBM Duplicate Recurrent Tumor RNA Aliquot	ADNA
This entity was not yet authorized to be released by the submitters	UNAV
